,Data-set,Algorithm,Support,Run-time,Memory,Patterns
235,B_C,LCM-GRAD,0.7,14.707,9754.0,19.0
239,B_C,LCM-GRAD,0.7,14.49,9754.0,19.0
302,B_C,LCM-GRAD,0.7,14.851,9922.0,19.0
379,B_C,LCM-GRAD,0.7,14.445,9754.0,19.0
422,B_C,LCM-GRAD,0.7,15.311,9738.0,19.0
553,B_C,LCM-GRAD,0.7,15.074,9754.0,19.0
572,B_C,LCM-GRAD,0.7,14.715,9922.0,19.0
76,B_C,ACO-GRAANK,0.8,0.0692,138.9,0.0
242,B_C,ACO-GRAANK,0.8,0.0671,145.8,0.0
297,B_C,ACO-GRAANK,0.8,0.1299,200.7,1.0
337,B_C,ACO-GRAANK,0.8,0.071,139.1,0.0
349,B_C,ACO-GRAANK,0.8,0.0524,113.3,1.0
353,B_C,ACO-GRAANK,0.8,0.1422,221.2,0.0
420,B_C,ACO-GRAANK,0.8,0.0712,148.9,1.0
435,B_C,ACO-GRAANK,0.8,0.0712,136.0,1.0
551,B_C,ACO-GRAANK,0.8,0.204,214.2,0.0
91,B_C,ACO-LCM,0.8,0.797,447.0,28.0
119,B_C,ACO-LCM,0.8,0.4429,353.4,1.0
225,B_C,ACO-LCM,0.8,0.5118,391.4,6.0
287,B_C,ACO-LCM,0.8,0.5726,428.3,14.0
322,B_C,ACO-LCM,0.8,0.5594,426.6,11.0
488,B_C,ACO-LCM,0.8,0.5589,420.2,10.0
595,B_C,ACO-LCM,0.8,0.4604,373.1,3.0
624,B_C,ACO-LCM,0.8,0.5131,389.7,6.0
633,B_C,ACO-LCM,0.8,0.7331,446.8,25.0
132,B_C,GRAANK,0.8,0.4556,46.4,2.0
257,B_C,GRAANK,0.8,0.4557,46.4,2.0
267,B_C,GRAANK,0.8,0.4573,46.4,2.0
444,B_C,GRAANK,0.8,0.4554,46.4,2.0
477,B_C,GRAANK,0.8,0.457,46.4,2.0
484,B_C,GRAANK,0.8,0.451,46.4,2.0
568,B_C,GRAANK,0.8,0.4571,46.4,2.0
634,B_C,GRAANK,0.8,0.4566,46.4,2.0
663,B_C,GRAANK,0.8,0.4586,46.4,2.0
129,B_C,LCM-GRAD,0.8,13.616,9720.0,18.0
179,B_C,LCM-GRAD,0.8,13.596,9720.0,18.0
275,B_C,LCM-GRAD,0.8,13.645,9720.0,18.0
294,B_C,LCM-GRAD,0.8,13.651,9720.0,18.0
301,B_C,LCM-GRAD,0.8,14.276,9720.0,18.0
476,B_C,LCM-GRAD,0.8,13.66,9720.0,18.0
508,B_C,LCM-GRAD,0.8,13.76,9720.0,18.0
513,B_C,LCM-GRAD,0.8,13.508,9720.0,18.0
550,B_C,LCM-GRAD,0.8,13.628,9720.0,18.0
109,B_C,ACO-GRAANK,0.9,0.0221,96.8,1.0
126,B_C,ACO-GRAANK,0.9,0.1585,190.8,0.0
216,B_C,ACO-GRAANK,0.9,0.0444,108.6,1.0
218,B_C,ACO-GRAANK,0.9,0.1418,116.6,0.0
243,B_C,ACO-GRAANK,0.9,0.0768,176.8,0.0
290,B_C,ACO-GRAANK,0.9,0.0976,179.9,0.0
606,B_C,ACO-GRAANK,0.9,0.168,184.2,0.0
644,B_C,ACO-GRAANK,0.9,0.0391,102.2,1.0
650,B_C,ACO-GRAANK,0.9,0.2108,218.7,0.0
138,B_C,ACO-LCM,0.9,0.5791,381.8,8.0
258,B_C,ACO-LCM,0.9,0.6215,403.6,11.0
268,B_C,ACO-LCM,0.9,0.5655,389.3,8.0
282,B_C,ACO-LCM,0.9,0.8868,420.5,29.0
464,B_C,ACO-LCM,0.9,0.7318,416.2,21.0
485,B_C,ACO-LCM,0.9,0.6611,422.7,15.0
543,B_C,ACO-LCM,0.9,0.5175,387.4,6.0
603,B_C,ACO-LCM,0.9,0.6213,399.1,12.0
647,B_C,ACO-LCM,0.9,0.6598,403.8,15.0
30,B_C,GRAANK,0.9,0.4563,46.4,2.0
139,B_C,GRAANK,0.9,0.4496,46.4,2.0
264,B_C,GRAANK,0.9,0.459,46.4,2.0
270,B_C,GRAANK,0.9,0.4577,46.4,2.0
346,B_C,GRAANK,0.9,0.4579,46.4,2.0
363,B_C,GRAANK,0.9,0.4498,46.4,2.0
400,B_C,GRAANK,0.9,0.4551,46.4,2.0
503,B_C,GRAANK,0.9,0.4566,46.4,2.0
584,B_C,GRAANK,0.9,0.4576,46.4,2.0
46,B_C,LCM-GRAD,0.9,12.425,9228.0,17.0
74,B_C,LCM-GRAD,0.9,12.35,9228.0,17.0
291,B_C,LCM-GRAD,0.9,12.964,9228.0,17.0
311,B_C,LCM-GRAD,0.9,12.407,9228.0,17.0
314,B_C,LCM-GRAD,0.9,12.218,9228.0,17.0
493,B_C,LCM-GRAD,0.9,12.196,9228.0,17.0
515,B_C,LCM-GRAD,0.9,12.449,9228.0,17.0
607,B_C,LCM-GRAD,0.9,12.265,9228.0,17.0
651,B_C,LCM-GRAD,0.9,12.486,9228.0,17.0
178,Buoys,ACO-GRAANK,0.5,0.0754,129.8,9.0
219,Buoys,ACO-GRAANK,0.5,0.0766,138.7,8.0
221,Buoys,ACO-GRAANK,0.5,0.1287,155.8,12.0
230,Buoys,ACO-GRAANK,0.5,0.0899,141.7,10.0
271,Buoys,ACO-GRAANK,0.5,0.094,143.2,10.0
303,Buoys,ACO-GRAANK,0.5,0.1564,172.4,15.0
449,Buoys,ACO-GRAANK,0.5,0.1712,139.8,16.0
492,Buoys,ACO-GRAANK,0.5,0.183,142.7,13.0
597,Buoys,ACO-GRAANK,0.5,0.1026,148.3,12.0
341,Buoys,ACO-LCM,0.5,2.7712,456.9,8.0
361,Buoys,ACO-LCM,0.5,2.4822,442.9,3.0
377,Buoys,ACO-LCM,0.5,2.9389,473.0,9.0
433,Buoys,ACO-LCM,0.5,2.707,450.9,5.0
566,Buoys,ACO-LCM,0.5,2.5241,435.4,2.0
586,Buoys,ACO-LCM,0.5,2.9052,465.0,7.0
629,Buoys,ACO-LCM,0.5,2.9969,473.6,10.0
658,Buoys,ACO-LCM,0.5,2.7838,457.3,6.0
665,Buoys,ACO-LCM,0.5,2.9083,473.8,8.0
85,Buoys,GRAANK,0.5,13.692,212.6,160.0
94,Buoys,GRAANK,0.5,13.689,212.6,160.0
122,Buoys,GRAANK,0.5,13.682,212.6,160.0
209,Buoys,GRAANK,0.5,13.701,212.6,160.0
320,Buoys,GRAANK,0.5,13.737,212.6,160.0
348,Buoys,GRAANK,0.5,13.673,212.6,160.0
365,Buoys,GRAANK,0.5,13.702,212.6,160.0
388,Buoys,GRAANK,0.5,13.855,212.6,160.0
468,Buoys,GRAANK,0.5,13.782,212.6,160.0
20,Buoys,LCM-GRAD,0.5,339.82,55619.0,33.0
64,Buoys,LCM-GRAD,0.5,323.56,55619.0,33.0
