Data-set,Algorithm,Support,Run-time,Memory,Patterns
B_C,LCM-GRAD (1.0),0.5,15.016,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.096,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.176,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.113,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.149,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.045,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.256,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.145,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.089,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.095,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.081,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,14.893,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.503,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.089,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.59,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.076,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.307,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.44,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,14.885,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.12,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.147,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,14.99,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.802,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.242,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.358,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.094,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.237,10447.0,19.0
B_C,LCM-GRAD (1.0),0.5,16.106,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.114,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.593,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,15.503,10446.0,19.0
B_C,LCM-GRAD (1.0),0.5,14.879,10446.0,19.0
B_C,ACO-GRAANK (2.0),0.6,0.0369,125.7,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0173,82.0,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0336,116.0,4.0
B_C,ACO-GRAANK (2.0),0.6,0.0392,124.2,1.0
B_C,ACO-GRAANK (2.0),0.6,0.093,166.3,3.0
B_C,ACO-GRAANK (2.0),0.6,0.0228,97.4,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0339,120.0,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0228,96.9,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0283,107.1,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0324,114.3,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0356,118.5,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0262,109.2,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0436,125.4,3.0
B_C,ACO-GRAANK (2.0),0.6,0.0393,122.3,4.0
B_C,ACO-GRAANK (2.0),0.6,0.0299,111.9,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0205,94.5,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0195,90.7,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0317,113.0,3.0
B_C,ACO-GRAANK (2.0),0.6,0.031,115.0,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0469,107.4,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0196,90.2,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0961,189.1,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0242,99.0,3.0
B_C,ACO-GRAANK (2.0),0.6,0.0311,110.7,3.0
B_C,ACO-GRAANK (2.0),0.6,0.0376,120.8,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0187,89.4,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0315,116.1,2.0
B_C,ACO-GRAANK (2.0),0.6,0.0201,93.3,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0203,92.4,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0196,90.7,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0207,93.3,1.0
B_C,ACO-GRAANK (2.0),0.6,0.018,87.2,1.0
B_C,ACO-GRAANK (2.0),0.6,0.0208,92.2,2.0
B_C,ACO-LCM (1.0),0.6,0.469,373.3,4.0
B_C,ACO-LCM (1.0),0.6,0.531,413.7,14.0
B_C,ACO-LCM (1.0),0.6,0.4864,386.3,6.0
B_C,ACO-LCM (1.0),0.6,0.4613,365.0,3.0
B_C,ACO-LCM (1.0),0.6,0.4743,372.3,4.0
B_C,ACO-LCM (1.0),0.6,0.5927,421.1,22.0
B_C,ACO-LCM (1.0),0.6,0.562,418.2,18.0
B_C,ACO-LCM (1.0),0.6,0.5573,422.0,18.0
B_C,ACO-LCM (1.0),0.6,0.5484,413.6,14.0
B_C,ACO-LCM (1.0),0.6,0.5161,398.8,9.0
B_C,ACO-LCM (1.0),0.6,0.5037,395.4,8.0
B_C,ACO-LCM (1.0),0.6,0.4711,383.2,6.0
B_C,ACO-LCM (1.0),0.6,0.5295,402.3,12.0
B_C,ACO-LCM (1.0),0.6,0.5806,424.2,21.0
B_C,ACO-LCM (1.0),0.6,0.5106,400.0,9.0
B_C,ACO-LCM (1.0),0.6,0.4732,371.3,4.0
B_C,ACO-LCM (1.0),0.6,0.6228,431.1,25.0
B_C,ACO-LCM (1.0),0.6,0.7228,434.3,38.0
B_C,ACO-LCM (1.0),0.6,0.5497,416.2,13.0
B_C,ACO-LCM (1.0),0.6,0.5672,421.9,18.0
B_C,ACO-LCM (1.0),0.6,0.7536,445.1,40.0
B_C,ACO-LCM (1.0),0.6,0.4305,348.9,1.0
B_C,ACO-LCM (1.0),0.6,0.4594,364.3,3.0
B_C,ACO-LCM (1.0),0.6,0.6704,426.3,29.0
B_C,ACO-LCM (1.0),0.6,0.5325,408.7,12.0
B_C,ACO-LCM (1.0),0.6,0.5329,422.1,14.0
B_C,ACO-LCM (1.0),0.6,0.6414,437.1,27.0
B_C,ACO-LCM (1.0),0.6,0.5501,422.4,14.0
B_C,ACO-LCM (1.0),0.6,0.5784,422.7,16.0
B_C,ACO-LCM (1.0),0.6,0.5155,396.4,9.0
B_C,ACO-LCM (1.0),0.6,0.4529,358.0,2.0
B_C,ACO-LCM (1.0),0.6,0.6171,430.5,25.0
B_C,ACO-LCM (1.0),0.6,0.47,373.1,4.0
B_C,GRAANK,0.6,0.5161,62.7,12.0
B_C,GRAANK,0.6,0.5148,62.7,12.0
B_C,GRAANK,0.6,0.5168,62.7,12.0
B_C,GRAANK,0.6,0.5171,62.7,12.0
B_C,GRAANK,0.6,0.5184,62.7,12.0
B_C,GRAANK,0.6,0.5186,62.7,12.0
B_C,GRAANK,0.6,0.5157,62.7,12.0
B_C,GRAANK,0.6,0.5176,62.7,12.0
B_C,GRAANK,0.6,0.515,62.7,12.0
B_C,GRAANK,0.6,0.5176,62.7,12.0
B_C,GRAANK,0.6,0.5202,62.7,12.0
B_C,GRAANK,0.6,0.5175,62.7,12.0
B_C,GRAANK,0.6,0.5145,62.7,12.0
B_C,GRAANK,0.6,0.5176,62.7,12.0
B_C,GRAANK,0.6,0.5128,62.7,12.0
B_C,GRAANK,0.6,0.5095,62.7,12.0
B_C,GRAANK,0.6,0.5137,62.7,12.0
B_C,GRAANK,0.6,0.521,62.7,12.0
B_C,GRAANK,0.6,0.518,62.7,12.0
B_C,GRAANK,0.6,0.519,62.7,12.0
B_C,GRAANK,0.6,0.5181,62.7,12.0
B_C,GRAANK,0.6,0.5166,62.7,12.0
B_C,GRAANK,0.6,0.5171,62.7,12.0
B_C,GRAANK,0.6,0.5203,62.7,12.0
B_C,GRAANK,0.6,0.5194,62.7,12.0
B_C,GRAANK,0.6,0.5192,62.7,12.0
B_C,GRAANK,0.6,0.5212,62.7,12.0
B_C,GRAANK,0.6,0.5159,62.7,12.0
B_C,GRAANK,0.6,0.5138,62.7,12.0
B_C,GRAANK,0.6,0.5161,62.7,12.0
B_C,GRAANK,0.6,0.5175,62.7,12.0
B_C,GRAANK,0.6,0.518,62.7,12.0
B_C,GRAANK,0.6,0.5149,62.7,12.0
B_C,LCM-GRAD (1.0),0.6,14.985,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.952,10232.0,19.0
